food_id,food_name,image_url,declared_status,http_status,content_type,content_length,access_status,reason
FD0353,sate bandeng,https://asset.kompas.com/crops/4UfXhXtR7hK2atnUpqKRHGbhFuk=/3x0:700x465/750x500/data/photo/2021/02/16/602b2a91ca7f1.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0354,sate kulit,https://img.qraved.co/v2/image/data/over-1530587392136-x.png,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0355,sate pusut ikan,https://cdn0-production-images-kly.akamaized.net/-ZH0E7VH_7Y_VdtKDmgokQ4DAAs=/0x0:5184x2922/1200x675/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3652549/original/060993000_1638588819-shutterstock_1729690198.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0356,sate usus,https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2022/03/17/92418359.jpeg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0357,sawo,https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/2022/02/18/manfaat-makan-buah-sawojpg-20220218054230.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0358,sayur asem,https://upload.wikimedia.org/wikipedia/commons/7/79/Fried_vegetables_%28Hamsa_-_Kuwaiti_food_%29.JPG,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0359,sayur kohu-kohu,https://upload.wikimedia.org/wikipedia/commons/7/79/Fried_vegetables_%28Hamsa_-_Kuwaiti_food_%29.JPG,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0360,sayur lebui,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2021/02/25/sayur-lebuijpg-20210225095814.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0361,sayur lilin-terubuk,https://img-global.cpcdn.com/recipes/a038616fb592cfd1/680x482cq70/sayur-lilinterubuk-santan-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0362,sayur ndusuk,https://upload.wikimedia.org/wikipedia/commons/7/79/Fried_vegetables_%28Hamsa_-_Kuwaiti_food_%29.JPG,refreshed,,,,not_checked,manual_real_food_curation_not_live_checked
FD0363,sayur sop,https://www.astronauts.id/blog/wp-content/uploads/2022/07/Resep-Sayur-Sop-Bening-Enak-dan-Gurih-Cocok-Saat-Tubuh-Kurang-Fit-1024x683.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0364,sayur umbut kelapa,https://cdn0-production-images-kly.akamaized.net/H6v-Vuj_s2NuBQ1JVdAtUOraaOI=/0x0:998x562/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3603077/original/021559400_1634270571-shutterstock_2045298773.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0365,sayur umbut rotan,https://img-global.cpcdn.com/recipes/02702f896cf4ff96/680x482cq70/umbut-rotan-foto-resep-utama.jpg,ok,,,,not_checked,manual_real_food_curation_not_live_checked
FD0366,selada air rebus,"https://cdn.yummy.co.id/content-images/images/20210709/49DvTl27doQU4KTcGvMeptYfrUCVyrTW-31363235383338343334d41d8cd98f00b204e9800998ecf8427e.jpg?x-oss-process=image/format,webp",ok,,,,not_checked,manual_real_food_curation_not_live_checked
